Subject,System,ticket_id
2nd core dump for saMgr after upgrade to UAG 4.5.6.2,Unified Access Gateway,da25fe99-8126-432f-8455-3ed247b2364d
SRVCC preparation phase fails after 2.5.1.0,C-MME/SGSN,e017915d-b4df-4ba6-96f6-3a2607f0d77b
For Emergency calls EATF is adding extra parameters i.e. ‘~ccso(XX-419-XX-XX)’  to the Call-ID SIP header for the INVITE(s) forwarded between EATF and ECSCF.,Unified Access Gateway,66c50937-e023-4cca-a71e-c82fe9d00a9d
ISCM Block Fail - Please refer to previous ticket - TS17A03P,Gateway General Packet Radio Service,48906be7-581a-4a1f-869e-9cecad05992b
High memory usage alarms in LSM,Operation System Support,ff48d18f-0497-4f48-8f0b-99a9c1951c70
MR and Handover Procedure Questions,,2e28be87-18a8-45d2-9fde-e1af62dd059e
BM0SBC11 - Multiple cards OOS,Unified Access Gateway,f1698c68-c4da-4206-962c-04f57ad4b1d6
RAID/etc failed in HH04 Master server,Operation System Support,01742852-adf0-470a-9c49-e69d6383457e
CA 800/1800 Fairness Low Throughput,Distributed Unit,ee8f9801-b7ca-4e54-925d-a525019f5549
IMSI-Config and SOS call,C-MME/SGSN,8d36f2e0-f490-428e-9e2f-b073855d57ad
3UK_SLR 7.0_eNB_Site not taking traffic after SLR 7.0 SW upgrade,,658861be-3bec-4c2f-9519-50d662f3c9e8
3UK_LTE_eNB_SLR 7.0_LBand sites_RRH function fail alarm intermittent for all RRH with SW notifications(eccb=ACT & eccb=DEACT),Distributed Unit,03f2e54e-8241-45bd-a601-2a18699aa098
‘TCP Socket Refresh’ that happens with iPhones,SBC ,e1e152c8-1268-4f5e-9b9e-cf61b2d6ea20
MP card OOS in two of the SBC nodes,SBC ,2b9c4d04-d2af-466d-9204-e485dea4a1c8
Gamma MVNO - SGSN APN Overwrite Query,C-MME/SGSN,cce79d31-012d-4163-9ffb-1586bea1f41f
HH0LSM05_3PAR7400 Hemel LS-LSMR Storage in failed state,Operation System Support,1b54bc41-1183-4bcd-b747-0f81f72c56e3
"Technical Query:-Intel, AMD and ARM chip issue.",Operation System Support,10a8bb7b-92b0-481e-b656-c663ff31d72f
HH0CGW04 - FALT-EXT_DISK_GROUP - A disk has transited to an innoperative staus,CGW,7e5d4ae3-b9e4-4b4f-8f43-aaf025a79be9
aPeriodic Reports sent with MCS29 increment incorrect counter (LUA),Distributed Unit,056507c2-a27c-4af3-acf4-89aa43bcae64
Disk space  issue on BM0LSM04_MS05 /log : growing continuously,Operation System Support,25a0257c-5f19-48f6-b381-1ae86ce8a881
PMRA short on free memory,C-MME/SGSN,98689234-dd30-4244-a17c-240491794de4
XML file size have been significantly reduced for SLR7.0.0_P1 SW without any change in ManagedNRM(currently set to SLR7.0.0_P0 PLD filter) file,Distributed Unit,be08cbb0-dcc8-4f7d-9af4-3bbaf3d95f3a
UAG BM0SBC11 blade 10  Device is reporting an internal degraded status on disk.,,dfa9587f-9263-415d-8acc-aed7bc5a7633
MP Card CPU Usage.,Unified Access Gateway,f166d4e0-e054-46a8-a720-65b13cffd771
MIB for UAG-A-R_4_5_22_2,SBC ,f418f5a2-7fe4-4a78-88ce-9311868edbcc
PDSCH BLER on 1400MHz (L-Band),,9542b3aa-aa27-495d-a1b9-7a145b931aa7
eNB SLR7.0.0_P1 FOA - Increase in Drops,,6ccf9bb2-a5e0-4944-ad81-bffd8d7e6c2c
LTE Acc Degradation under the counter Erabinitfailnbr Cp Cc fail & Erabinitfailnbr Rrc Sig To,Distributed Unit,806a1bf4-ba04-4e9c-88cd-f9e47f3bfbde
4.5.22.2 CR232 Network PANI header missing in 403 Forbidden SIP Error,Unified Access Gateway,724145ae-9646-451c-a224-d5e84fa5c1d6
Load Shedding not working.,Distributed Unit,52c035be-cd87-4c69-a444-478113256e48
PMRA installation issue -> connect: Network is unreachable,C-MME/SGSN,2dbd1277-9ac5-42ce-9995-1645e3e582d0
HTPLSM1M - Unable to upgarde eNBs to SLR7.0.0_P1_02 SW - Error DB_UPGRADE_FAIL,Operation System Support,270a3109-3c13-4ecb-90e8-225af772ce90
Decor: Samsung eNB is using same MME all the time for IMSI attach irrespective of MME code configured in DCN-CONF,Distributed Unit,7cc0c898-e5f2-4dbf-ae06-a8a6c33b444b
MRSBC11 Fatal disk error,SBC ,073417b6-230c-4cc8-9f29-d98c684c41f6
FOA_UL CoMP - Increase in Uplink BLER,,af3a9104-d142-4858-9dc0-3dca4ac18415
"DROPS (UAG_ORIG_CALL_DROP_MEDIA_INACT , UAG_ORIG_CALL_DROP ) have gone up in comparison to the same amount of traffic which was handled by node on 5th -9th July.",SBC ,97f3e6ec-36a6-443a-ad43-802da35be4fd
SLR8.0.0_P0 doesn't allow to download firmware,Distributed Unit,5b8e1b18-c886-48c8-8496-48c30ff896f3
Cell TRAFFIC and RF Trace NOT working,Operation System Support,1e4ac11e-6bcd-4289-adb3-a1df7b4d3470
3UK_LTE_eNodeB_ Abnormal RSSI Values reported on Performance Statistics,,530ce9a9-1999-46c9-8cea-6b9de7f79a94
3UK_LTE_2100_Intra LTE Handover Success Rate Dergradation _Interx2infail S1ap Cu Fail,,434f028e-8e72-489c-8a77-2b8c59651bec
SBC removes PEM header from the incoming INVITE and forwards it towards Core,SBC ,63b41ef4-0bc8-4ce1-98f3-beb171892efd
Samsung ENB Integration testing with Nokia SeGW using PSK,Distributed Unit,1921ff9f-21e0-41fc-acd9-6de02e3bf3b7
HH0LSM2M _ KPI Details Not available in LSMR Home Page,Operation System Support,0d1526c6-01d3-41ff-904f-e11ba6010acc
SAE-GW - incorrect user-password in RADIUS failure scenario,Gateway General Packet Radio Service,831947e3-450b-470d-8a38-5c250053b205
FLT 7005 not visible in message history,Gateway General Packet Radio Service,f1f9f8a3-7fc1-45b3-96e8-d3a390af6ebd
CE card restarted dumping core - vmcore,SBC ,bda42106-72f6-4cc0-89e2-3e780a5526eb
WAF027 & NHM030 Cell disabled on L1800 Band,Distributed Unit,4c62c67d-cc1c-420f-a4c5-eac52ea11254
HH0CGW03 RAID Array - Bay 9 Failure,CGW,4f622a6b-69d5-4692-8826-e73e47b00e34
Maya SeGW - Samsung eNB8 integration fails due to incorrect IPSEC Integrity Protection,Distributed Unit,c6db96e9-5cd6-4c79-a3d3-909a90d165be
LTE DU0304 Performance L18,Distributed Unit,aaf6ff39-1d2f-4ea9-8520-18d4e8d6293c
Upgrade to ESXi 6.0 Causes the CPU Host (HP Blade) to reach 90% CPU utilization,Unified Access Gateway,4d709611-35e1-43bc-84c2-98a1e85ce4d3
Carrier Aggregation on but Scell counters not pegging,,8fbb74aa-16b8-4205-a620-070435c3a880
DNS NAPTRA Query for KNP Netherland APN failing,Gateway General Packet Radio Service,1e419595-c220-47f2-9890-e874a1e27276
3UK_LTE_eNB_TMS034_eNB LOADING ERROR,Distributed Unit,1fdb2b30-746b-4ad8-bb33-521bee917062
UE Category Count has increased after the  SLR8.0 Sw upgrade,Distributed Unit,3d7f1ded-4395-435a-b63c-f207e48d5b6e
PING stop working when switch Legacy to MAYA CORE,,4f7f93f4-354b-49b6-b4b6-de203e246c68
Telenor Denmark -  LTE Create Session Requests sent to wrong IP - APN override issue?,C-MME/SGSN,cc96359d-25f8-4493-b511-9f8baf5aac4d
MRMFR ATCA_MRFC_PSC_PORT alarms on all four PSC cards,,99a369e0-fe3d-405a-ac41-52e7476154f9
UAG 4.5.22.4 atcfMgr Core dump,SBC ,360e1855-caea-48e7-95fd-6f715753afd0
RAID disk failed on MR MR0LSM2M(RAID/Disk),Operation System Support,9d0e0dc5-4fe7-449f-962e-96a3e77efc9a
Maya PKI: 3UK activated the ENV parameter MODEAHESP to AES256 and it appeared to have NO IMPACT,Distributed Unit,4e4e587e-73c0-4d0b-855c-1882fe8b5c9f
RAID/Etc Faulty in BM0LSM3M,Operation System Support,1870cf4e-8eda-4e5e-92cb-6a29708a7a03
Nokia SeGW PKI - WARM STRAT events on eNBs connected via Nokia SeGWs,Distributed Unit,889c41d3-eaaf-4573-806a-71d2082ea10c
HH0SAE03 LENA3 restart,Gateway General Packet Radio Service,9a06af04-bde7-4f97-b930-ffd92c5a4578
DU0985 LTE Intermittent Down,Distributed Unit,37225fb8-b254-4cfc-a626-96ca6e51f00e
Threshold crossing alarm change request,Gateway General Packet Radio Service,7bd9cf72-d9d6-4da0-9b40-df0b7dbf1293
SAE-GW IMS CDRs,Gateway General Packet Radio Service,848ce4c9-9081-4d02-ac51-90df7a6c727f
Rack Viewer not showing all configured MMUs,,f8d8b9cb-c654-477e-9118-97229eeea1fe
3UK_LTE_HH0LSM05_BRW053_ Site Down post Hub Migration,Distributed Unit,70fb5d16-d6ea-44e0-8132-9aa494ac595c
euinternet for inbound roamers,C-MME/SGSN,3fdde763-a339-4b26-b0c5-f958e338f3ef
BMUAG11 SG 7-B (8-8) OOS after rebooting during Security Package 2_0_11_0 upgrade,Unified Access Gateway,49f292bb-6dac-49d2-85c5-089d4d4a2c82
S1-MME connection not reestablished after link recovery,Distributed Unit,c572c569-2b51-44b2-88e0-e24bcff2962e
High VoLTE ERAB Drop Rate,Distributed Unit,084c6e03-7cfd-4600-a7e9-2f9feeb831bf
Samsung eNB does not reply with HORequestAck with no apparent reason,Distributed Unit,2bc28dea-d64b-4429-82fb-d0cb1021b7bc
LTE WT0130 high temp,Distributed Unit,54669844-c439-4f4e-a229-28f62006b55c
LEMA CPU high usage Syslog,Gateway General Packet Radio Service,0b3f4d9a-09ca-4ee4-8d26-1636be700db8
LTE cell lock does not trigger service-off alarm,Operation System Support,2d8e5d08-5b04-4283-abe2-4b182a424e86
Samsung 3GPPvendor ID,Gateway General Packet Radio Service,ed8208f3-a8a6-4481-a8ba-672efab44d7f
Severity incorrect in Nokia NetAct,CGW,93f7121c-5826-48e7-9e88-c183801199c6
SGs failure question for RP,C-MME/SGSN,07a5a035-a64c-4405-a47c-388c80d760f8
3UK lab test for SLR8.0.0_P0_02 - RTRV-CELL-CAC CLI command times out,,057c8097-6c2f-4caf-aacc-08e7682e1d85
CGW S-CDRs for dual stack roamers,CGW,c78735e4-46cd-40f8-b1b7-9c760e0f4210
ECP DSP Restart & RRH Function Fail,RU,1902ff7f-390d-4a86-b277-7e83ed79fa60
"OLN LAB: FGR-BC1201, NR Data Usage Report : Missing IE / message ?",Distributed Unit,9c08a051-e94c-4034-bfbb-1b627a1f3a23
MR0CGW01 Hardware fault,CGW,ce49a36f-d502-46d1-a3c7-f68d6b24e661
Disk failure observed in Hemel LSM 3/HH0LSM3M,Operation System Support,b49a7626-364e-4a9a-a54e-5d1175913bf8
LSM2 /home directory at 83% of capacity,Operation System Support,9daa423f-06b6-4b04-b862-c84431531335
HH0MRF01 alarm162 from all PSC cards all ports(TS2070AV),MRF,2a5eaf93-9e30-4205-9bdc-9c708c6cb200
[SLR9.0 Orange Romania Cluj-Napoca][Blind IRAT Mobility to UMTS not working ],Distributed Unit,e9ab2ebe-b38a-4129-8366-d48f0d7c4641
SVR19A OLN: eNB does not sync with 1588 clock source,Distributed Unit,56387ebf-f79d-49fd-ae37-d82bd2bdbbda
3UK_LTE_ Site not coming on air due to Loading Error and Protocol Status SNMP alarm_SFD070,Distributed Unit,8605bc8b-c3a6-4361-b2da-28c43c3eefb7
Delete hang customers from SAE after APN's have been disabled.,Gateway General Packet Radio Service,3dfd7887-200f-412f-804a-9949c8d4a949
3UK_LTE_RUT024_Intermittent cell availabiltiy degradation,Distributed Unit,cd8637c3-6df0-4848-8d89-b7498e1129f1
